;Question;Answer;BT_Level
1623;where did chopin spend his vacation in 1824 and 1825 ?;-lsb- n 4 -rsb- in 1824 and 1825 , at szafarnia , he was a guest of dominik dziewanowski , the father of a schoolmate .;Analysis
1624;during what year did frédéric 's youngest sister , emilia , pass away ?;in 1827 , soon after the death of chopin 's youngest sister emilia , the family moved from the warsaw university building , adjacent to the kazimierz palace , to lodgings just across the street from the university , in the south annex of the krasiński palace on krakowskie przedmieście , -lsb- n 5 -rsb- where chopin lived until he left warsaw in 1830 .;Knowledge
1625;what street did frédéric 's family move to after the death of his youngest sister ?;in 1827 , soon after the death of chopin 's youngest sister emilia , the family moved from the warsaw university building , adjacent to the kazimierz palace , to lodgings just across the street from the university , in the south annex of the krasiński palace on krakowskie przedmieście , -lsb- n 5 -rsb- where chopin lived until he left warsaw in 1830 .;Synthesis
1626;what year did frédéric leave warsaw after moving with his family to the south annex of krasiński palace ?;in 1827 , soon after the death of chopin 's youngest sister emilia , the family moved from the warsaw university building , adjacent to the kazimierz palace , to lodgings just across the street from the university , in the south annex of the krasiński palace on krakowskie przedmieście , -lsb- n 5 -rsb- where chopin lived until he left warsaw in 1830 .;Comprehension
1627;what did the chopin 's family business become in the 20th century ?;"-lsb- n 6 -rsb- here his parents continued running their boarding house for male students ; the chopin family parlour ( salonik chopinów ) became a museum in the 20th century .";Knowledge
1628;which artist created the first known portrait of frédéric ?;in 1829 the artist ambroży mieroszewski executed a set of portraits of chopin family members , including the first known portrait of the composer .;Knowledge
1629;what year did chopin 's sister emilia die ?;in 1827 , soon after the death of chopin 's youngest sister emilia , the family moved from the warsaw university building , adjacent to the kazimierz palace , to lodgings just across the street from the university , in the south annex of the krasiński palace on krakowskie przedmieście , -lsb- n 5 -rsb- where chopin lived until he left warsaw in 1830 .;Knowledge
1630;what year did chopin leave warsaw ?;in 1827 , soon after the death of chopin 's youngest sister emilia , the family moved from the warsaw university building , adjacent to the kazimierz palace , to lodgings just across the street from the university , in the south annex of the krasiński palace on krakowskie przedmieście , -lsb- n 5 -rsb- where chopin lived until he left warsaw in 1830 .;Knowledge
1631;what was the chopin family 's business ?;"-lsb- n 6 -rsb- here his parents continued running their boarding house for male students ; the chopin family parlour ( salonik chopinów ) became a museum in the 20th century .";Knowledge
1632;what artist painted the chopin family ?;in 1829 the artist ambroży mieroszewski executed a set of portraits of chopin family members , including the first known portrait of the composer .;Knowledge
1633;who in chopin 's family died shortly before they moved in 1827 ?;in 1827 , soon after the death of chopin 's youngest sister emilia , the family moved from the warsaw university building , adjacent to the kazimierz palace , to lodgings just across the street from the university , in the south annex of the krasiński palace on krakowskie przedmieście , -lsb- n 5 -rsb- where chopin lived until he left warsaw in 1830 .;Knowledge
1634;what was the chopin boarding house called in english ?;"-lsb- n 6 -rsb- here his parents continued running their boarding house for male students ; the chopin family parlour ( salonik chopinów ) became a museum in the 20th century .";Knowledge
1635;what artist made portraits of the chopin family in 1829 ?;in 1829 the artist ambroży mieroszewski executed a set of portraits of chopin family members , including the first known portrait of the composer .;Knowledge
1636;was the chopin family boarding house for male or female students ?;"-lsb- n 6 -rsb- here his parents continued running their boarding house for male students ; the chopin family parlour ( salonik chopinów ) became a museum in the 20th century .";Knowledge
1637;of the individuals that became intimate with frédéric during their stay at the family apartments , which two became part of frédéric 's social environment in paris ?;"four boarders at his parents ' apartments became chopin 's intimates : tytus woyciechowski , jan nepomucen białobłocki , jan matuszyński and julian fontana ; the latter two would become part of his paris milieu .";Knowledge
1638;which singer was cited specifically as someone frédéric was attracted to ?;he was also attracted to the singing student konstancja gładkowska .;Evaluation
1639;what four boys from his family 's boarding house became friends with chopin ?;"four boarders at his parents ' apartments became chopin 's intimates : tytus woyciechowski , jan nepomucen białobłocki , jan matuszyński and julian fontana ; the latter two would become part of his paris milieu .";Knowledge
1640;which singer did chopin become fascinated with ?;he was also attracted to the singing student konstancja gładkowska .;Knowledge
1641;which of chopin 's works was unknowingly dedicated to gladkowska ?;"in letters to woyciechowski , he indicated which of his works , and even which of their passages , were influenced by his fascination with her ; his letter of 15 may 1830 revealed that the slow movement ( larghetto ) of his piano concerto no. 1 ( in e minor ) was secretly dedicated to her -- `` it should be like dreaming in beautiful springtime -- by moonlight . ''";Knowledge
1642;when did chopin receive his last conservatory report ?;his final conservatory report ( july 1829 ) read : `` chopin f. , third-year student , exceptional talent , musical genius . '';Knowledge
1643;which two of chopin 's friends became part of his paris milieu ?;"four boarders at his parents ' apartments became chopin 's intimates : tytus woyciechowski , jan nepomucen białobłocki , jan matuszyński and julian fontana ; the latter two would become part of his paris milieu .";Knowledge
1644;what was the name of the singing student chopin was attracted to ?;he was also attracted to the singing student konstancja gładkowska .;Synthesis
1645;to whom did chopin reveal in letters which parts of his work were about the singing student he was infatuated with ?;"four boarders at his parents ' apartments became chopin 's intimates : tytus woyciechowski , jan nepomucen białobłocki , jan matuszyński and julian fontana ; the latter two would become part of his paris milieu .";Knowledge
1646;what musical piece had a larghetto dedicated to the female singing student chopin was infatuated with ?;"in letters to woyciechowski , he indicated which of his works , and even which of their passages , were influenced by his fascination with her ; his letter of 15 may 1830 revealed that the slow movement ( larghetto ) of his piano concerto no. 1 ( in e minor ) was secretly dedicated to her -- `` it should be like dreaming in beautiful springtime -- by moonlight . ''";Synthesis
1647;how many boarders of his family 's boarding house became intimate friends with chopin ?;"four boarders at his parents ' apartments became chopin 's intimates : tytus woyciechowski , jan nepomucen białobłocki , jan matuszyński and julian fontana ; the latter two would become part of his paris milieu .";Knowledge
1648;who did frédéric visit berlin with in september 1828 ?;in september 1828 chopin , while still a student , visited berlin with a family friend , zoologist feliks jarocki , enjoying operas directed by gaspare spontini and attending concerts by carl friedrich zelter , felix mendelssohn and other celebrities .;Knowledge
1649;which opera director did frédéric see works of during his stay in berlin ?;in september 1828 chopin , while still a student , visited berlin with a family friend , zoologist feliks jarocki , enjoying operas directed by gaspare spontini and attending concerts by carl friedrich zelter , felix mendelssohn and other celebrities .;Knowledge
1650;who was frédéric a guest of during his stay in berlin in 1829 ?;on an 1829 return trip to berlin , he was a guest of prince antoni radziwiłł , governor of the grand duchy of posen -- himself an accomplished composer and aspiring cellist .;Knowledge
1651;what piece did frédéric create specifically for the prince and the prince 's daughter , wanda ?;for the prince and his pianist daughter wanda , he composed his introduction and polonaise brillante in c major for cello and piano , op. 3 .;Synthesis
1652;when did chopin visit berlin ?;in september 1828 chopin , while still a student , visited berlin with a family friend , zoologist feliks jarocki , enjoying operas directed by gaspare spontini and attending concerts by carl friedrich zelter , felix mendelssohn and other celebrities .;Knowledge
1653;with whom did chopin go to berlin ?;in september 1828 chopin , while still a student , visited berlin with a family friend , zoologist feliks jarocki , enjoying operas directed by gaspare spontini and attending concerts by carl friedrich zelter , felix mendelssohn and other celebrities .;Knowledge
1654;while in berlin he saw the operatic work of who ?;in september 1828 chopin , while still a student , visited berlin with a family friend , zoologist feliks jarocki , enjoying operas directed by gaspare spontini and attending concerts by carl friedrich zelter , felix mendelssohn and other celebrities .;Comprehension
1655;in 1829 on a trip back to berlin chopin was a guest of who ?;on an 1829 return trip to berlin , he was a guest of prince antoni radziwiłł , governor of the grand duchy of posen -- himself an accomplished composer and aspiring cellist .;Evaluation
1656;what piece did chopin create for prince antoni ?;for the prince and his pianist daughter wanda , he composed his introduction and polonaise brillante in c major for cello and piano , op. 3 .;Synthesis
1657;what year did chopin visit berlin while still a student ?;in september 1828 chopin , while still a student , visited berlin with a family friend , zoologist feliks jarocki , enjoying operas directed by gaspare spontini and attending concerts by carl friedrich zelter , felix mendelssohn and other celebrities .;Knowledge
1658;who did chopin go to berlin with ?;in september 1828 chopin , while still a student , visited berlin with a family friend , zoologist feliks jarocki , enjoying operas directed by gaspare spontini and attending concerts by carl friedrich zelter , felix mendelssohn and other celebrities .;Knowledge
1659;what did the person who chopin went with to berlin do for his work ?;in september 1828 chopin , while still a student , visited berlin with a family friend , zoologist feliks jarocki , enjoying operas directed by gaspare spontini and attending concerts by carl friedrich zelter , felix mendelssohn and other celebrities .;Knowledge
1660;who directed the operas they enjoyed in berlin ?;in september 1828 chopin , while still a student , visited berlin with a family friend , zoologist feliks jarocki , enjoying operas directed by gaspare spontini and attending concerts by carl friedrich zelter , felix mendelssohn and other celebrities .;Knowledge
1661;what year did chopin return to berlin ?;on an 1829 return trip to berlin , he was a guest of prince antoni radziwiłł , governor of the grand duchy of posen -- himself an accomplished composer and aspiring cellist .;Knowledge
1662;what did frédéric compose after hearing niccolò paganini perform on the violin ?;back in warsaw that year , chopin heard niccolò paganini play the violin , and composed a set of variations , souvenir de paganini .;Application
1663;during what month did frédéric make his first appearance in vienna ?;on 11 august , three weeks after completing his studies at the warsaw conservatory , he made his debut in vienna .;Knowledge
1664;how many piano concerts did frédéric perform in vienna during this time ?;he gave two piano concerts and received many favourable reviews -- in addition to some commenting ( in chopin 's own words ) that he was `` too delicate for those accustomed to the piano-bashing of local artists '' .;Knowledge
1665;on what date did frédéric give his first performance of piano concerto no. 2 in f minor , op. 21 ?;he returned to warsaw in september 1829 , where he premiered his piano concerto no. 2 in f minor , op. 21 on 17 march 1830 .;Comprehension
1666;what did chopin compose after hearing niccolo paganini ?;back in warsaw that year , chopin heard niccolò paganini play the violin , and composed a set of variations , souvenir de paganini .;Synthesis
1667;where did chopin debut after completing his studies ?;on 11 august , three weeks after completing his studies at the warsaw conservatory , he made his debut in vienna .;Synthesis
1668;what piece did chopin debut after returning to warsaw ?;he returned to warsaw in september 1829 , where he premiered his piano concerto no. 2 in f minor , op. 21 on 17 march 1830 .;Knowledge
1669;when did chopin return to warsaw ?;he returned to warsaw in september 1829 , where he premiered his piano concerto no. 2 in f minor , op. 21 on 17 march 1830 .;Knowledge
1670;why did some critics say that chopin was too delicate ?;he gave two piano concerts and received many favourable reviews -- in addition to some commenting ( in chopin 's own words ) that he was `` too delicate for those accustomed to the piano-bashing of local artists '' .;Evaluation
1671;who did chopin hear play violin in 1829 that prompted him to write a composisition ?;back in warsaw that year , chopin heard niccolò paganini play the violin , and composed a set of variations , souvenir de paganini .;Knowledge
1672;where did chopin make his debut after completing his education ?;on 11 august , three weeks after completing his studies at the warsaw conservatory , he made his debut in vienna .;Comprehension
1673;how many public performances did chopin do where he made his debut after completing his education ?;he gave two piano concerts and received many favourable reviews -- in addition to some commenting ( in chopin 's own words ) that he was `` too delicate for those accustomed to the piano-bashing of local artists '' .;Knowledge
1674;how many weeks after completing school was it before chopin made his public debut ?;on 11 august , three weeks after completing his studies at the warsaw conservatory , he made his debut in vienna .;Knowledge
1675;on what date did frédéric begin his journey into western europe ?;chopin 's successes as a composer and performer opened the door to western europe for him , and on 2 november 1830 , he set out , in the words of zdzisław jachimecki , `` into the wide world , with no very clearly defined aim , forever . '';Knowledge
1676;which country did frédéric go to first after setting out for western europe ?;with woyciechowski , he headed for austria , intending to go on to italy .;Knowledge
1677;in what year did his companion woyciechowski depart to poland to enlist for the uprising in warsaw ?;later that month , in warsaw , the november 1830 uprising broke out , and woyciechowski returned to poland to enlist .;Application
1678;what historian commented that the events involving frédéric 's friend in poland contributed to his maturing ?;chopin 's successes as a composer and performer opened the door to western europe for him , and on 2 november 1830 , he set out , in the words of zdzisław jachimecki , `` into the wide world , with no very clearly defined aim , forever . '';Evaluation
1679;who said that chopin set out `` into the wide world , with no very clearly defined aim , forever ? '';chopin 's successes as a composer and performer opened the door to western europe for him , and on 2 november 1830 , he set out , in the words of zdzisław jachimecki , `` into the wide world , with no very clearly defined aim , forever . '';Evaluation
1680;who did chopin leave for austria with ?;with woyciechowski , he headed for austria , intending to go on to italy .;Knowledge
1681;where did chopin intend to go after austria ?;with woyciechowski , he headed for austria , intending to go on to italy .;Knowledge
1682;woyciechowski left chopin to enlist in what ?;later that month , in warsaw , the november 1830 uprising broke out , and woyciechowski returned to poland to enlist .;Evaluation
1683;what geographicla region was opened for chopin due to his composing and performances ?;chopin 's successes as a composer and performer opened the door to western europe for him , and on 2 november 1830 , he set out , in the words of zdzisław jachimecki , `` into the wide world , with no very clearly defined aim , forever . '';Knowledge
1684;when chopin started to take his music to the world , what is the last name of the person who went with him to austria ?;with woyciechowski , he headed for austria , intending to go on to italy .;Synthesis
1685;what year did the uprising begin in warsaw ?;chopin 's successes as a composer and performer opened the door to western europe for him , and on 2 november 1830 , he set out , in the words of zdzisław jachimecki , `` into the wide world , with no very clearly defined aim , forever . '';Knowledge
1686;what were the words chopin wrote to a friend when he was alone and homesick ?;chopin , now alone in vienna , was nostalgic for his homeland , and wrote to a friend , `` i curse the moment of my departure . '';Knowledge
1687;what year did chopin learn that the uprising in warsaw was crushed ?;when in september 1831 he learned , while travelling from vienna to paris , that the uprising had been crushed , he expressed his anguish in the pages of his private journal : `` oh god !;Evaluation
1688;what event was frédéric a part of when he arrived in paris during the later part of september in 1831 ?;"chopin arrived in paris in late september 1831 ; he would never return to poland , thus becoming one of many expatriates of the polish great emigration .";Analysis
1689;what version of frédéric 's birth name did he begin using after arriving in france ?;in france he used the french versions of his given names , and after receiving french citizenship in 1835 , he travelled on a french passport .;Knowledge
1690;in what year did frédéric officially acquire french citizenship ?;in france he used the french versions of his given names , and after receiving french citizenship in 1835 , he travelled on a french passport .;Knowledge
1691;what were the two kinds of relationships stated as frédéric having with his fellow poland natives in exile ?;however , chopin remained close to his fellow poles in exile as friends and confidants and he never felt fully comfortable speaking french .;Knowledge
1692;what nationality is stated as the one frédéric felt most identified by ?;"chopin arrived in paris in late september 1831 ; he would never return to poland , thus becoming one of many expatriates of the polish great emigration .";Knowledge
1693;when did chopin reach paris ?;"chopin arrived in paris in late september 1831 ; he would never return to poland , thus becoming one of many expatriates of the polish great emigration .";Knowledge
1694;by not going back to poland chopin became part of what ?;"chopin arrived in paris in late september 1831 ; he would never return to poland , thus becoming one of many expatriates of the polish great emigration .";Synthesis
1695;in what year did chopin become a french citizen ?;in france he used the french versions of his given names , and after receiving french citizenship in 1835 , he travelled on a french passport .;Knowledge
1696;what is the name of chopin 's biographer ?;chopin 's biographer adam zamoyski writes that he never considered himself to be french , despite his father 's french origins , and always saw himself as a pole .;Knowledge
1697;after 1831 , what country did chopin never return to ?;"chopin arrived in paris in late september 1831 ; he would never return to poland , thus becoming one of many expatriates of the polish great emigration .";Knowledge
1698;what country 's passport did he have from 1835 ?;in france he used the french versions of his given names , and after receiving french citizenship in 1835 , he travelled on a french passport .;Knowledge
1699;what language was chopin never completely at ease speaking ?;in france he used the french versions of his given names , and after receiving french citizenship in 1835 , he travelled on a french passport .;Knowledge
1700;what biographer of chopin wrote that chopin never considered himself french ?;chopin 's biographer adam zamoyski writes that he never considered himself to be french , despite his father 's french origins , and always saw himself as a pole .;Evaluation
1701;due to the numbers of expatriates of poland after the uprising , what did it become to be known as ?;"chopin arrived in paris in late september 1831 ; he would never return to poland , thus becoming one of many expatriates of the polish great emigration .";Knowledge
1702;in what city did frédéric achieve celebrity status ?;in paris , chopin encountered artists and other distinguished figures , and found many opportunities to exercise his talents and achieve celebrity .;Knowledge
1703;who was the principal of the polish literary society that frédéric became acquainted with ?;chopin was also acquainted with the poet adam mickiewicz , principal of the polish literary society , some of whose verses he set as songs .;Knowledge
1704;what did frédéric create from verses of the poet adam mickiewicz ?;chopin was also acquainted with the poet adam mickiewicz , principal of the polish literary society , some of whose verses he set as songs .;Knowledge
1705;what poet did chopin use verses from for songs ?;chopin was also acquainted with the poet adam mickiewicz , principal of the polish literary society , some of whose verses he set as songs .;Knowledge
1706;what people did chopin meet while in paris ?;during his years in paris he was to become acquainted with , among many others , hector berlioz , franz liszt , ferdinand hiller , heinrich heine , eugène delacroix , and alfred de vigny .;Knowledge
1707;what was the name of the poet chopin became acquainted with in paris ?;chopin was also acquainted with the poet adam mickiewicz , principal of the polish literary society , some of whose verses he set as songs .;Knowledge
1708;what position did the poet who chopin knew in paris hold ?;chopin was also acquainted with the poet adam mickiewicz , principal of the polish literary society , some of whose verses he set as songs .;Knowledge
1709;which friend of frédéric failed to achieve success in england ?;"his fellow student at the warsaw conservatory , julian fontana , had originally tried unsuccessfully to establish himself in england ; albert grzymała , who in paris became a wealthy financier and society figure , often acted as chopin 's adviser and `` gradually began to fill the role of elder brother in -lsb- his -rsb- life . ''";Knowledge
1710;who was frédéric 's trusted adviser while in paris ?;"his fellow student at the warsaw conservatory , julian fontana , had originally tried unsuccessfully to establish himself in england ; albert grzymała , who in paris became a wealthy financier and society figure , often acted as chopin 's adviser and `` gradually began to fill the role of elder brother in -lsb- his -rsb- life . ''";Knowledge
1711;what familial role was albert grzymała compared to in regards to frédéric ?;"his fellow student at the warsaw conservatory , julian fontana , had originally tried unsuccessfully to establish himself in england ; albert grzymała , who in paris became a wealthy financier and society figure , often acted as chopin 's adviser and `` gradually began to fill the role of elder brother in -lsb- his -rsb- life . ''";Analysis
1712;who is stated as a jack of all trades in service to frédéric ?;"his fellow student at the warsaw conservatory , julian fontana , had originally tried unsuccessfully to establish himself in england ; albert grzymała , who in paris became a wealthy financier and society figure , often acted as chopin 's adviser and `` gradually began to fill the role of elder brother in -lsb- his -rsb- life . ''";Knowledge
1713;what nationality were the two friends who served as a pivotal influence in frédéric 's life while in paris ?;two polish friends in paris were also to play important roles in chopin 's life there .;Analysis
1714;julian fontana tried to find his way where before moving to paris ?;"his fellow student at the warsaw conservatory , julian fontana , had originally tried unsuccessfully to establish himself in england ; albert grzymała , who in paris became a wealthy financier and society figure , often acted as chopin 's adviser and `` gradually began to fill the role of elder brother in -lsb- his -rsb- life . ''";Evaluation
1715;where did julian fontana fail to get established ?;"his fellow student at the warsaw conservatory , julian fontana , had originally tried unsuccessfully to establish himself in england ; albert grzymała , who in paris became a wealthy financier and society figure , often acted as chopin 's adviser and `` gradually began to fill the role of elder brother in -lsb- his -rsb- life . ''";Synthesis
1716;who did chopin know that became rich in paris ?;"his fellow student at the warsaw conservatory , julian fontana , had originally tried unsuccessfully to establish himself in england ; albert grzymała , who in paris became a wealthy financier and society figure , often acted as chopin 's adviser and `` gradually began to fill the role of elder brother in -lsb- his -rsb- life . ''";Knowledge
1717;which friend of chopin became like an older brother to him ?;"his fellow student at the warsaw conservatory , julian fontana , had originally tried unsuccessfully to establish himself in england ; albert grzymała , who in paris became a wealthy financier and society figure , often acted as chopin 's adviser and `` gradually began to fill the role of elder brother in -lsb- his -rsb- life . ''";Synthesis
1718;which friend took on the role of several jobs to help chopin including copyist ?;"his fellow student at the warsaw conservatory , julian fontana , had originally tried unsuccessfully to establish himself in england ; albert grzymała , who in paris became a wealthy financier and society figure , often acted as chopin 's adviser and `` gradually began to fill the role of elder brother in -lsb- his -rsb- life . ''";Knowledge
1719;where were chopin and fontana students together ?;"his fellow student at the warsaw conservatory , julian fontana , had originally tried unsuccessfully to establish himself in england ; albert grzymała , who in paris became a wealthy financier and society figure , often acted as chopin 's adviser and `` gradually began to fill the role of elder brother in -lsb- his -rsb- life . ''";Knowledge
1720;who gave frédéric his first significant public approval in regards to his compositions ?;at the end of 1831 , chopin received the first major endorsement from an outstanding contemporary when robert schumann , reviewing the op. 2 variations in the allgemeine musikalische zeitung ( his first published article on music ) , declared : `` hats off , gentlemen !;Comprehension
1721;on what date did frédéric give his first performance at the salle pleyel ?;on 26 february 1832 chopin gave a debut paris concert at the salle pleyel which drew universal admiration .;Knowledge
1722;what is stated as a hindrance for frédéric 's ability to perform in large concert spaces ?;the critic françois-joseph fétis wrote in the revue et gazette musicale : `` here is a young man who ... taking no model , has found , if not a complete renewal of piano music , ... an abundance of original ideas of a kind to be found nowhere else ... '' after this concert , chopin realized that his essentially intimate keyboard technique was not optimal for large concert spaces .;Comprehension
1723;who did frédéric rely upon financially before earning a great income from his works ?;he no longer depended financially upon his father , and in the winter of 1832 he began earning a handsome income from publishing his works and teaching piano to affluent students from all over europe .;Analysis
1724;from whom did chopin receive his first big endorsement ?;at the end of 1831 , chopin received the first major endorsement from an outstanding contemporary when robert schumann , reviewing the op. 2 variations in the allgemeine musikalische zeitung ( his first published article on music ) , declared : `` hats off , gentlemen !;Knowledge
1725;when did chopin debut at salle pleyel ?;on 26 february 1832 chopin gave a debut paris concert at the salle pleyel which drew universal admiration .;Knowledge
1726;what affluent family did chopin gain a patronage from ?;later that year he was introduced to the wealthy rothschild banking family , whose patronage also opened doors for him to other private salons ( social gatherings of the aristocracy and artistic and literary elite ) .;Knowledge
1727;when did chopin receive his first major endorsement from robert schumann ?;at the end of 1831 , chopin received the first major endorsement from an outstanding contemporary when robert schumann , reviewing the op. 2 variations in the allgemeine musikalische zeitung ( his first published article on music ) , declared : `` hats off , gentlemen !;Knowledge
1728;what did chopin realize was not ideal for larger spaces after his first successful concert in paris ?;the critic françois-joseph fétis wrote in the revue et gazette musicale : `` here is a young man who ... taking no model , has found , if not a complete renewal of piano music , ... an abundance of original ideas of a kind to be found nowhere else ... '' after this concert , chopin realized that his essentially intimate keyboard technique was not optimal for large concert spaces .;Knowledge
1729;once chopin stopped performing concerts , how did he earn his income ?;he no longer depended financially upon his father , and in the winter of 1832 he began earning a handsome income from publishing his works and teaching piano to affluent students from all over europe .;Synthesis
1730;what was frédéric 's favorite environment to perform in ?;he played more frequently at salons , but preferred playing at his own paris apartment for small groups of friends .;Knowledge
1731;what instrument did frédéric play in a performance on 23 march 1833 ?;"examples include a concert on 23 march 1833 , in which chopin , liszt and hiller performed ( on pianos ) a concerto by j.s. bach for three keyboards ; and , on 3 march 1838 , a concert in which chopin , his pupil adolphe gutmann , charles-valentin alkan , and alkan 's teacher joseph zimmermann performed alkan 's arrangement , for eight hands , of two movements from beethoven 's 7th symphony .";Application
1732;chopin gave a yearly performance where ?;in later years he generally gave a single annual concert at the salle pleyel , a venue that seated three hundred .;Comprehension
1733;chopin worked with liszt on what piece ?;"chopin was also involved in the composition of liszt 's hexameron ; he wrote the sixth ( and final ) variation on bellini 's theme .";Comprehension
1734;in 1833 with whom with chopin work to get his music published ?;chopin 's music soon found success with publishers , and in 1833 he contracted with maurice schlesinger , who arranged for it to be published not only in france but , through his family connections , also in germany and england .;Comprehension
1735;what is the name of chopin 's pupil who performed with him ?;"examples include a concert on 23 march 1833 , in which chopin , liszt and hiller performed ( on pianos ) a concerto by j.s. bach for three keyboards ; and , on 3 march 1838 , a concert in which chopin , his pupil adolphe gutmann , charles-valentin alkan , and alkan 's teacher joseph zimmermann performed alkan 's arrangement , for eight hands , of two movements from beethoven 's 7th symphony .";Knowledge
1736;where did chopin prefer to play for people ?;he played more frequently at salons , but preferred playing at his own paris apartment for small groups of friends .;Synthesis
1737;on march 23 , 1833 , who headlined and performed with chopin at a concert ?;"examples include a concert on 23 march 1833 , in which chopin , liszt and hiller performed ( on pianos ) a concerto by j.s. bach for three keyboards ; and , on 3 march 1838 , a concert in which chopin , his pupil adolphe gutmann , charles-valentin alkan , and alkan 's teacher joseph zimmermann performed alkan 's arrangement , for eight hands , of two movements from beethoven 's 7th symphony .";Evaluation
1738;who did chopin contract with for publishing his music ?;chopin 's music soon found success with publishers , and in 1833 he contracted with maurice schlesinger , who arranged for it to be published not only in france but , through his family connections , also in germany and england .;Knowledge
1739;who did frédéric meet in the spring of 1834 at the lower rhenish music festival ?;in the spring of 1834 , chopin attended the lower rhenish music festival in aix-la-chapelle with hiller , and it was there that chopin met felix mendelssohn .;Analysis
1740;what two activities did frédéric do while visiting for a day in düsseldorf with mendelssohn and hiller ?;they spent what mendelssohn described as `` a very agreeable day '' , playing and discussing music at his piano , and met friedrich wilhelm schadow , director of the academy of art , and some of his eminent pupils such as lessing , bendemann , hildebrandt and sohn .;Knowledge
1741;who was the director of the academy of art that frédéric met while in düsseldorf ?;they spent what mendelssohn described as `` a very agreeable day '' , playing and discussing music at his piano , and met friedrich wilhelm schadow , director of the academy of art , and some of his eminent pupils such as lessing , bendemann , hildebrandt and sohn .;Knowledge
1742;where were frédéric 's parents located at when he saw them for the final time in 1835 ?;"in 1835 chopin went to carlsbad , where he spent time with his parents ; it was the last time he would see them .";Comprehension
1743;where did chopin meet felix mendelssohn ?;in the spring of 1834 , chopin attended the lower rhenish music festival in aix-la-chapelle with hiller , and it was there that chopin met felix mendelssohn .;Knowledge
1744;who did chopin attend the lower rhenish music festival with ?;in the spring of 1834 , chopin attended the lower rhenish music festival in aix-la-chapelle with hiller , and it was there that chopin met felix mendelssohn .;Knowledge
1745;in 1835 where did chopin and his parents visit ?;"in 1835 chopin went to carlsbad , where he spent time with his parents ; it was the last time he would see them .";Analysis
1746;when did chopin propose marriage to maria wodziński ?;in july 1836 chopin travelled to marienbad and dresden to be with the wodziński family , and in september he proposed to maria , whose mother countess wodzińska approved in principle .;Synthesis
1747;who was maria 's mother ?;in july 1836 chopin travelled to marienbad and dresden to be with the wodziński family , and in september he proposed to maria , whose mother countess wodzińska approved in principle .;Knowledge
1748;who did chopin meet at a music festival early in 1834 ?;in the spring of 1834 , chopin attended the lower rhenish music festival in aix-la-chapelle with hiller , and it was there that chopin met felix mendelssohn .;Knowledge
1749;where did chopin and hiller go with the person chopin met in the spring of 1834 ?;after the festival , the three visited düsseldorf , where mendelssohn had been appointed musical director .;Application
1750;what was friedrich wilhelm schadow position ?;they spent what mendelssohn described as `` a very agreeable day '' , playing and discussing music at his piano , and met friedrich wilhelm schadow , director of the academy of art , and some of his eminent pupils such as lessing , bendemann , hildebrandt and sohn .;Knowledge
1751;what was the first name of the girl chopin proposed to ?;he had made the acquaintance of their daughter maria in poland five years earlier , when she was eleven .;Knowledge
1752;who was the recipient of frédéric 's letter he wrote on 12 december 1831 ?;although it is not known exactly when chopin first met liszt after arriving in paris , on 12 december 1831 he mentioned in a letter to his friend woyciechowski that `` i have met rossini , cherubini , baillot , etc. -- also kalkbrenner .;Knowledge
1753;what are the three names stated in frédéric 's letter that he had shown interest and curiosity in ?;you would not believe how curious i was about herz , liszt , hiller , etc. '' liszt was in attendance at chopin 's parisian debut on 26 february 1832 at the salle pleyel , which led him to remark : `` the most vigorous applause seemed not to suffice to our enthusiasm in the presence of this talented musician , who revealed a new phase of poetic sentiment combined with such happy innovation in the form of his art . '';Knowledge
1754;who is stated as being in attendance of frédéric 's first performance at the salle pleyel on 26 february 1832 ?;although it is not known exactly when chopin first met liszt after arriving in paris , on 12 december 1831 he mentioned in a letter to his friend woyciechowski that `` i have met rossini , cherubini , baillot , etc. -- also kalkbrenner .;Knowledge
1755;what was the date that liszt first saw chopin perform ?;you would not believe how curious i was about herz , liszt , hiller , etc. '' liszt was in attendance at chopin 's parisian debut on 26 february 1832 at the salle pleyel , which led him to remark : `` the most vigorous applause seemed not to suffice to our enthusiasm in the presence of this talented musician , who revealed a new phase of poetic sentiment combined with such happy innovation in the form of his art . '';Knowledge
1756;which friend received the letter in which chopin referenced liszt ?;although it is not known exactly when chopin first met liszt after arriving in paris , on 12 december 1831 he mentioned in a letter to his friend woyciechowski that `` i have met rossini , cherubini , baillot , etc. -- also kalkbrenner .;Evaluation
1757;where was chopin 's first concert in paris held ?;you would not believe how curious i was about herz , liszt , hiller , etc. '' liszt was in attendance at chopin 's parisian debut on 26 february 1832 at the salle pleyel , which led him to remark : `` the most vigorous applause seemed not to suffice to our enthusiasm in the presence of this talented musician , who revealed a new phase of poetic sentiment combined with such happy innovation in the form of his art . '';Knowledge
1758;what address did frédéric live at during his stay in paris ?;the two became friends , and for many years lived in close proximity in paris , chopin at 38 rue de la chaussée-d'antin , and liszt at the hôtel de france on the rue lafitte , a few blocks away .;Analysis
1759;how far down the road did liszt live from frédéric during this time ?;the two became friends , and for many years lived in close proximity in paris , chopin at 38 rue de la chaussée-d'antin , and liszt at the hôtel de france on the rue lafitte , a few blocks away .;Analysis
1760;how many times did frédéric and liszt collaborate in performances during the years of 1833 to 1841 ?;they performed together on seven occasions between 1833 and 1841 .;Knowledge
