Question;Level
discuss three ( 3 ) consequences of technology on organizational communication. provide one ( 1 ) relevant example for each answer.;Comprehension
define classical approach and human relations approach.;Knowledge
within an organization , each employee holds different roles in the informal communication networks. explain any four ( 4 ) roles with an example for each role.;Application
draw the `` onion model that represents schein 's model of organizational culture.;Comprehension
discuss the three ( 3 ) levels of organizational culture outlined by schein. provide your discussion with an example for each level.;Comprehension
explain the five ( 5 ) stages of organizational conflict according to pondy 's ( 1967 ) model.;Comprehension
compare any five ( 5 ) differences between formal networks and informal networks.;Analysis
thomas ( 1976 ) has identified five styles in resolving a conflict such as avoidance. explain the other four ( 4 ) styles in resolving a conflict.;Comprehension
explain the six ( 6 ) power bases that determine effective leadership. provide an example for each of the answers.;Comprehension
in a two-column table , list five ( 5 ) tools used in the technology-integrated instruction and the traditional instruction respectively.;Knowledge
generalize five ( 5 ) ways to use digital photography in classroom teaching and learning.;Evaluation
analyze five ( 5 ) disadvantages of multimedia in education.;Analysis
elaborate four ( 4 ) advantages of using web 2.0 and 3.0 in teaching and learning.;Comprehension
explain how the utilize technology , media and materials stage in assure model can help creating a more effective teaching and learning environment.;Comprehension
as an educator , evaluate five ( 5 ) advantages and five ( 5 ) disadvantages of using technology in education.;Evaluation
define the basic concepts involved in incorporating technology in teaching english language at secondary school level.;Comprehension
illustrate with example the four ( 4 ) advantages of photography.;Comprehension
categorize five ( 5 ) advantages of multimedia in primary school education.;Comprehension
relate four ( 4 ) disadvantages of web-based learning as an emerging digital technology used in teaching and learning.;Comprehension
draw a technology enhanced language learning classroom sketch for low proficiency primary year 6 students. you should include five ( 5 ) basic technology facilities with label which are essential to the integration of technology in the classroom.;Comprehension
evaluate your sketch with addie 's model procedure.;Evaluation
draw a technology enhanced language learning classroom sketch for advanced level primary year 6 students. you should include five ( 5 ) basic technology facilities with label which are essential to the integration of technology in the classroom.;Comprehension
evaluate your sketch with assure 's model procedure.;Evaluation
technology has been used in most schools since the 90s , but it still has some interruptions. validate the top four ( 4 ) problematic issues with technology in education today.;Evaluation
massive open online course ( mooc ) is a developing trend in media and technology. predict the future of higher education with mooc.;Comprehension
each of the four ( 4 ) different historical perspectives have a unique outlook on educational technology and defines it in a slightly different way. list and discuss the four ( 4 ) perspectives.;Comprehension
describe the 5 hierarchical stages of welliver 's instructional transformation model.;Knowledge
explain four ( 4 ) advantages of using multimedia in classroom.;Comprehension
interpret five ( 5 ) emerging trends of technology application in education.;Comprehension
draw a technology enhanced language learning classroom sketch for a writing lesson with 12 high proficiency students , aged 10. you should include five ( 5 ) basic technology facilities with label which are essential to the integration of technology in the classroom.;Comprehension
evaluate your sketch with addie 's model procedure.;Evaluation
draw a technology enhanced language learning classroom sketch for a grammar lesson with 10 low proficiency students , aged 13. you should include five ( 5 ) basic technology facilities with label which are essential to the integration of technology in the classroom.;Comprehension
evaluate your sketch with assure 's model procedure.;Evaluation
define the basic concepts of educational technology.;Knowledge
provide a guideline for effective use of photography of display materials '' in teaching of english language.;Comprehension
categorize the basic concepts of multimedia with an example for each.;Comprehension
analyze four ( 4 ) advantages of mobile assisted learning as an emerging digital technology used in teaching and learning.;Analysis
define educational technology based on five ( 5 ) instructional design view.;Knowledge
relate five ( 5 ) examples on how video often make new connections and discoveries between curriculum topics and the world outside the classroom.;Analysis
explain all the elements of multimedia with examples.;Comprehension
interpret five ( 5 ) usage of learning management system as an emerging technology in the context of teaching and learning.;Comprehension
explain the term inflation as used in building economics.;Comprehension
outline two ( 2 ) main causes of inflation.;Comprehension
elaborate the term of national income as used in building economics.;Comprehension
explain five ( 5 ) characteristics of the construction sector.;Comprehension
sketch a diagram to illustrate the activities and products in the construction industry.;Application
describe five ( 5 ) limitations of small size construction firms in malaysia.;Comprehension
the price of good is one of the internal factors of determinants of demands and it also depends on the cost of production. describe the two ( 2 ) types of production cost with examples.;Comprehension
you are working with sp setia properties as the sales manager for the following project. discuss eight ( 8 ) ways to increase profits of the project.;Comprehension
your profit from previous project is rm30,000.00 and you just won a new project to construct a new airport runway at sepang , selangor. decide whether you are going to purchase the bulldozer or pay out bonuses to your staff. use the concept of opportunities cost , choices and scarcity to aid your explanation.;Application
discuss the roles of construction industry in a country 's growth. provide evidences on how construction industries worldwide have contributed to the economic growths of their respective countries to enhance your discussions.;Analysis
elaborate in general how construction industry is managed by the government and in detail how a government strategy to improve the industry can be delivered effectively.;Comprehension
there are a number of factors influencing the productivity of a sector of the economy. explain accordingly.;Comprehension
there is a relationship between the level of construction activity and a country 's stage of development. discuss.;Analysis
analyse the challenges facing a government in managing the construction economy and suggest the ways to overcome them.;Synthesis
explain the basic concepts in construction economics as introduced by myers ( 2017 ).;Comprehension
the construction industry comprises a wide diversity of firms that it is impossible to categorise them all within one type of market structure. discuss.;Analysis
in their efforts to achieve their macroeconomic objectives , all governments , regardless of political persuasion , employ the same types of policy instrument. discuss.;Comprehension
calculate the market demand and market supply in table form.;Application
draw the market demand and supply curve.;Comprehension
describe six ( 6 ) factors that are affecting supply in the construction industry.;Comprehension
draw a production possibility curve to show the combination of flats and houses which could be achieved on the site.;Application
explain three ( 3 ) difficulties in calculating national income accounting.;Comprehension
national income accounting refers to a set of rules and techniques that are used to measure the national income of a country. explain the eight ( 8 ) reasons why national income accounting is important.;Comprehension
national income can be calculated using three approaches. state the three ( 3 ) approaches.;Knowledge
calculate the market demand and market supply in table form.;Application
draw the ‘market demand ' and 'supply curve '.;Comprehension
discuss the comparison between the microeconomics and macroeconomics field of study in term of production , prices , income and employment.;Analysis
identify and describe the four ( 4 ) criteria for judging economic outcomes.;Comprehension
define the term 'production possibility curve ' as used in the timber and steel factory.;Knowledge
discuss the three ( 3 ) important fundamentals in basic economic concepts that are opportunity cost , efficient market and marginalism.;Comprehension
for any points which fall under the curve , explain the combination of production for steel and bricks.;Comprehension
for any points which fall outside the curve , explain the combination of production for steel and bricks.;Comprehension
for any points which fall exactly on the curve , explain the combination of production for steel and bricks.;Comprehension
define and explain 'fiscal policy ' in terms of its objectives and differentiate between the 'discretionary fiscal policy ' and 'automatic fiscal policy '.;Analysis
define and list out the objectives of monetary policy , the quantitative versus qualitative instruments of monetary policy.;Knowledge
discuss the comparison between 'quantitative instruments ' and 'qualitative instruments ' of monetary policy.;Comprehension
national income accounting refers to a set of rules and techniques that are used to measure the national income of a country. explain eight ( 8 ) significant factors of national income accounting.;Comprehension
identify and describe three ( 3 ) difficulties in calculating national income accounting.;Comprehension
state the three ( 3 ) approaches to calculate national income.;Knowledge
you are appointed to identify building defects for a new building. briefly identify six ( 6 ) common construction problems you would expect for modern buildings.;Comprehension
you are conducting a building survey for a 2 year old building where you reported premature building decay. explain the possible factors that may cause these defects to the building owner.;Comprehension
building information modeling ( bim ) claims to enhance construction efficiency. discuss three ( 3 ) benefits you would utilize and their importance to your project.;Comprehension
in a building there is always concern with fire safety. list what aspects you would assess in order to achieve strict compliance in the building design.;Comprehension
as a project manager , you are evaluating the building design for its compliance to intended function as a private college accommodating over 2000 students. analyze the problems and propose the building performance to meet these functions.;Synthesis
describe the concept or purpose of qlassic and cis ( construction industry standards ) documents.;Comprehension
briefly list the different types of building maintenance.;Knowledge
as a supervisor for the brickworks , list four ( 4 ) aspects of brick quality control in order to produce good architectural work.;Knowledge
discuss four ( 4 ) common modern construction problems to anticipate.;Comprehension
propose a suitable preparatory demolition survey , method and shoring where some partial demolition work is included for the rear building portion.;Synthesis
describe the factors affecting premature building decay.;Comprehension
provide the objectives of building maintenance.;Comprehension
design a sketch section of the floor slab adjoining the parapet that includes the scupper drain , drain guard , water proofing layer , and protective topping.;Synthesis
propose solutions to reinforced concrete flat roof defects experienced in malaysia , such as water ponding , material exposure to solar radiation , poor maintenance culture and concrete spalling due to leaks from cold joints and stress cracks.;Synthesis
analyze and explain the critical purpose of the components design of a raking shore to avoid façade retention failure.;Analysis
describe the basic qlassic inspection tools used and how they are used to detect the various types of defects for their assessment of quality.;Comprehension
describe three ( 3 ) types of test that can be applied for a concrete structure survey.;Comprehension
describe the purposes of utilizing building information modelling in the construction industry.;Comprehension
analyze six ( 6 ) types of modern construction problems as to how they negatively impact the various building functions.;Analysis
discuss five ( 5 ) types of “non destructive test equipment and how they can be used to aid the sensory indicators of building defects.;Comprehension
discuss the types of building defects commonly found on reinforced concrete flat roof which lead to water leaking and concrete cancer and how their cause of defects are defined under iso 6241.;Comprehension
in maintaining concrete quality , identify seven ( 7 ) good practices on site.;Knowledge
describe the three ( 3 ) causes of concrete blister.;Comprehension
explain the conditions where underpinning are usually considered for an existing building construction works.;Comprehension
identify what types of brickwork defects that require rejection from the supervisor.;Knowledge
discuss the best practices to reduce construction demolition and waste for sustainability.;Comprehension
you are a project manager working on a 8 storey building conservation project located in a congested urban area with poor soil bearing capacity and underground public utilities. propose to the building owner why an internally braced shoring system is preferable to raking shore and weighted vertical dead shores.;Synthesis
propose with justification , the types of maintenance relevant to a library building.;Evaluation
describe the 'qlassic assessment ' principles on how to perform the evaluation.;Comprehension
draw a body-centered cubic ( bcc ) unit cell. calculate the volume density and area density on the ( 0 , 0. 1 ) plane of a bcc cell if the lattice constant is 2.3 å. give a brief explanation of your calculations.;Application
if an electron in a hydrogen atom jumps from the first excited state to ground state , find the wavelength of the photon emitted.;Comprehension
determine the resistivity of a si sample if it is doped with 10 phosphorus atoms /cm and h. = 750 cm vs. find the hall coefficient of the sample.;Application
sketch the 1-v curve of a zener diode and explain what a zener breakdown is.;Application
show that the fermi-dirac function is a step function at t = 0 k.;Application
draw the face-centered cubic cell and determine its packing fraction. state and explain the assumptions you have made.;Application
find the velocity and wavelength of the electron.;Comprehension
apply the energy band diagram to explain why an intrinsic semiconductor is conductive and that its conductivity increases with temperature.;Application
draw the energy band diagram of a pn junction. label the depletion region and the electric field in the depletion region. for an unbiased junction , discuss the movement of majority and minority carriers and the resultant current that may arise at equillibrium.;Comprehension
state the five assumptions of an ideal diode.;Knowledge
explain why the intrinsic carrier concentration of ge is higher than si at t = 300 k.;Comprehension
explain how the ionic , metallic , covalent , and mixed states solids are formed. give an example of each solid and compare the electrical conductivity of the four types of solid.;Comprehension
draw the body-centered cubic cell and determine its packing fraction. state and explain the assumptions you have made.;Application
explain with an energy band diagram how an electron-hole pair ( ehp ) is formed in a semiconductor.;Comprehension
draw the energy band diagram of the doped semiconductor at 300 k.;Comprehension
calculate the carrier densities of the doped semiconductor at 400 k.;Application
draw the energy band diagram of the pn junction.;Comprehension
find the reverse bias saturation current.;Comprehension
state the four different bias modes of a bjt and explain how they are obtained.;Comprehension
draw the band diagram of a reverse biased pn junction. with reference to the band diagram and charge carriers , explain why there is negligible current flow in the diode.;Comprehension
draw a faced-centered cubic ( fcc ) cell. calculate the packing fraction of the fcc cell. state any assumptions you have made and explain your calculations.;Application
an electron experiences a potential difference of 5 kv in vacuum. find the wavelength of the particle.;Comprehension
draw the energy band diagram of an 11-type semiconductor and explain how an electron-hole pair ( ehp ) is formed. state any assumptions you have made.;Comprehension
draw the energy band diagram of an intrinsic si and label the band gap energy.;Comprehension
state two differences between a jfet and a bjt.;Comprehension
name a donor atom and acceptor atom for si.;Knowledge
write down schrodinger 's equation in one dimension and explain the meaning of each term of the equation.;Comprehension
show that the wavefunction of a free particle is a plane wave.;Application
state the four different bias modes of a bjt and explain how they are obtained.;Comprehension
explain why the electrical conductivity of a semiconductor is higher than an insulator by using the energy band diagram.;Comprehension
state the conductivity of a semiconductor at 0 k and clearly explain your answer.;Comprehension
determine the doping levels in the respective regions.;Application
in a bjt , the width of the base quasineutral region has to be small compared to the minority carrier diffusion length. explain why this is important;Comprehension
explain the creation of an electron-hole pair in an intrinsic si semiconductor at room temperature by using the covalent bonding picture.;Comprehension
evaluate if the contact is ohmic or rectifying ( schottky diode ) in nature. provide the analysis and support your answer with calculation;Evaluation
sketch the energy band diagram of the ideal metal-semiconductor contact in forward bias mode. show the conduction and valence band edges , and all the fermi levels.;Application
compare the electrical conductivity of an insulator and a semiconductor at room temperature by using the energy band diagram.;Comprehension
prove that the wave function of a free electron is a plane wave by using schrodinger 's equation.;Evaluation
compare zener breakdown with avalanche breakdown in a pn junction and state three differences. name a device that utilizes each breakdown mode.;Analysis
determine the volume density and area density on the ( 1 0 0 ) plane of a body center cubic cell with lattice constant of 5 å.;Application
explain the change in conductivity for a metal and an intrinsic semiconductor as temperature increases.;Comprehension
determine the fermi level ( in ev ) of the doped semiconductor and draw the energy band diagram.;Application
explain why it is important for the width of the base quasineutral region to be small compared to the minority carrier diffusion length in the operation of a bjt.;Comprehension
"explain the meaning of the expression `` robust model `` . specifically , justify your response if you heard a manager exclaim 'uh-oh , we 're in trouble ! the calculated eoq is wrong ; actual demand is 10 % greater than estimated '.";Evaluation
explain one ( 1 ) major advantage , and one ( 1 ) major disadvantage , of a fixed period system.;Comprehension
explain the method of monitoring inventory levels in retails stores.;Comprehension
develop an abc classification system for the 10 items.;Synthesis
construct a product structure. identify components. parents , and components.;Synthesis
prepare a time-phased product structure.;Application
design a vendor-rating form that represents your comparison of the education offered by universities in which you considered /are considering /have considered enrolling.;Synthesis
 `` the bullwhip measure can be used to analyze supply chains. nevertheless , inaccurate measures taken in addressing variance amplification can have ramifications `` . explain this statement.;Comprehension
explain three ( 3 ) lean techniques that work in both the manufacturing and service sector.;Comprehension
just-in-time ( jit ) attempts to remove delays , which do not add value. explain how jit copes with weather and its impact on crop harvest and transportation times.;Comprehension
explain three ( 3 ) ways in which jit and quality are related.;Comprehension
determine the economic order quantity.;Application
justify the choice of supplier. from your choice , determine the optimal order quantity and total annual cost of ordering , purchasing and holding the component.;Evaluation
calculate the optimal size of the production run.;Application
calculate the average holding and setup cost per year.;Application
calculate the total cost per year , including the cost of the lights.;Application
explain the reason why it is not necessary to include product cost ( price or price times quantity ) in the eoq model , but the quantity discount model requires the inclusion of product cost.;Comprehension
when quantity discounts are offered , justify why it is not necessary to check discount points that are below the eoq or points above the eoq that are not discount points.;Evaluation
just-in-time ( jit ) attempts to remove delays , which do not add value. explain how jit copes with weather and its impact on crop harvest and transportation times.;Comprehension
describe the three ( 3 ) ways in which jit and quality are related.;Comprehension
standardized , reusable containers have fairly obvious benefits for shipping. use five ( 5 ) points to justify the purpose of these devices within the plant.;Evaluation
develop a time phased product structure.;Synthesis
calculate the variance of demand for the winery.;Application
calculate the variance of orders for the glass bottles.;Application
determine if the winery is providing an amplifying or smoothing effect.;Application
determine the percentage of dht 's assets committed to inventory.;Application
justify if dht `s supply chain performance is better than pli.;Evaluation
explain the definition of a “robust model”. specifically , if a manager exclaimed “the calculated eoq is wrong because the actual demand is 10 % greater than estimated” , justify your response.;Evaluation
explain the term “level scheduling '.;Comprehension
standardized , reusable containers have fairly obvious benefits in shipping and within a plant. state five ( 5 ) purpose of these devices.;Knowledge
justify two ( 2 ) lean techniques that work in both the manufacturing and service sectors.;Evaluation
calculate the percent invested in inventory.;Application
calculate the inventory turnover.;Application
determine if the winery is providing an amplifying or smoothing effect.;Application
igneous rock can be formed either underground or above ground. elaborate.;Comprehension
glass is known to have good qualities and properties related to thermal and sound insulations. discuss the application of glass in the construction of green building.;Comprehension
briefly explain the desire properties of aggregate in producing concrete mixture.;Comprehension
autoclave aerated concrete block is gaining popular in high rise construction. briefly illustrate what are the unique features of the autoclave aerated concrete block.;Comprehension
steel is the most widely used reinforcing materials in concrete structure. briefly explain the general properties of steel.;Comprehension
briefly illustrate four ( 4 ) influences of carbon on metal.;Comprehension
compare and contrast the characteristics and usage between aluminium and high carbon steel.;Analysis
briefly describe the general properties of plastic in terms of strength and durability. comment also why plastic is not suitable to use as reinforcement bar for concrete structure.;Evaluation
there are three common types of brick in malaysia , namely common brick , facing brick and engineering brick. differentiate the properties and the applications among them.;Analysis
the general objective of inventory control is to minimize the total cost of keeping the inventory while making trade-offs. elaborate the four ( 4 ) major categories of cost in inventory control.;Comprehension
briefly describe the properties of wood in terms of density , thermal insulation , chemical resistance and strength.;Comprehension
recommend a suitable admixture to increase the workability of concrete and explain how it functions.;Evaluation
briefly describe ten ( 10 ) general characteristic of hardened concrete.;Comprehension
timber and plastic are common materials used in construction industry. elaborate five ( 5 ) specific applications for each material in building construction.;Comprehension
list down five ( 5 ) types of concrete admixture.;Knowledge
describe five ( 5 ) characteristics of hardened concrete.;Comprehension
compare and contrast the properties of clay brick and calcium silicate brick in terms of crushing strength , moisture movement , durability , appearance , fire resistance , colour , texture , sound and thermal insulation.;Analysis
recommend a suitable metal for the fabrication of power tools like drills , files and chisels. your recommendation should be justified by elaborating the important properties of the proposed metal.;Evaluation
a client wishes to renovate his balcony at first floor by replacing the metal handrail with glass panel. recommend a suitable type of glass to the client and justify your answer. please be reminded that safety is the major factor in all cases.;Evaluation
explain three ( 3 ) advantages of using aluminium to fabricate roof gutter.;Comprehension
provide four ( 4 ) reasons of using aggregate in concrete production.;Comprehension
explain three ( 3 ) categories of treatment to enhance the durability of timber.;Comprehension
compare the seasoning method between softwood and hardwood.;Comprehension
describe the significance of concrete as a primary material in today 's construction.;Comprehension
compare and contrast the characteristics between hardwood and softwood.;Analysis
concrete mould can be fabricated using steel or plastic. differentiate the characteristics of concrete mould that is produced by these materials.;Analysis
differentiate the properties between clay brick and autoclave aerated concrete ( aac ) block in term of compressive strength , density , colour , acoustic performance and thermal insulation.;Analysis
propose an admixture to increase the workability of concrete in the fresh state without reducing the engineering performance of the hardened concrete.;Synthesis
recommend two ( 2 ) suitable types of glasses which have good insulation properties for green building construction.;Evaluation
suggest a type of metal for reinforcing a concrete structure.;Synthesis
propose a suitable type of glass that is used to construct a transparent fiat roof for the entrance of the heritage hall in universiti tunku abdul rahman.;Synthesis
illustrate the needs of timber preservation and the techniques.;Comprehension
compare the formation process between igneous rock and sedimentary rocks.;Comprehension
illustrate the advantages of plastic material and its applications in construction.;Comprehension
describe the applications of mild steel in construction.;Comprehension
elaborate on the design and production process including the rational and economic use of resources that influence the development of a building.;Comprehension
describe the components in the mechanical and electrical system used in buildings.;Comprehension
list the seven ( 7 ) stages of the development process of a building project.;Knowledge
list five ( 5 ) plant consideration in a construction site.;Knowledge
discuss the objectives and the provision of site security in a construction site.;Comprehension
explain what is a datum level as used in site surveying for a building project.;Comprehension
list the seven ( 7 ) factors to be considered in the method of excavation and timbering.;Knowledge
elaborate the objectives and basic design procedure of the foundation design of a building.;Comprehension
describe and sketch the three ( 3 ) types of brick bonding.;Application
list four ( 4 ) general requirements for floor finishes.;Knowledge
list five ( 5 ) properties of damp-proof courses.;Knowledge
discuss the disadvantages of timber flat roofs.;Comprehension
explain the concept for the nature of building characteristics.;Comprehension
explain the activities involved in the building process.;Comprehension
describe the use of architecture drawings in construction.;Comprehension
list down three ( 3 ) methods of excavation.;Knowledge
explain the types of construction excavation.;Comprehension
sketch and label the section of the ground floor slab. explain the purpose of each labelled component.;Application
list down all types of brick wall and give explanations for each type of the wall.;Comprehension
evaluate the differences between the common , facing and engineering bricks in characteristics and use.;Evaluation
discuss the factors that affect the stability of high-rise buildings.;Comprehension
distinguish between ‘land surveyor ' and 'quantity surveyor '.;Analysis
explain three ( 3 ) purposes of architectural drawings to architects and other parties in the construction team.;Comprehension
identify three ( 3 ) building related statutory laws in malaysia.;Comprehension
distinguish between ‘load bearing wall ' and 'non-load bearing wall’.;Analysis
differentiate among “external wall ' , 'internal wall ' and 'parapet '.;Analysis
describe six ( 6 ) functional requirements of walls.;Comprehension
identify three ( 3 ) types of mortar used in wall construction.;Comprehension
sketch a diagram which indicates the damp proof membrane ( dpm ) in the non reinforced concrete ground floor.;Application
outline five ( 5 ) functional requirements of a floor.;Comprehension
discuss the procedures of the non-suspended reinforced concrete ground floors construction.;Comprehension
distinguish between 'differential foundation settlement ' and 'uniform foundation settlement '.;Analysis
explain two ( 2 ) defects which are usually occur on the surface of finished concrete.;Comprehension
discuss six ( 6 ) considerations before choosing the foundation type.;Comprehension
the foundation is the base on which a building rest and its purpose is to safely transfer the load of a building to a suitable subsoil. identify the specified bearing loads and give the explanations for each bearing load.;Comprehension
foundation design is required the study and examination of multiple components which is a highly specialized the function and usually is performed by a structural engineer. inspect the components which have to include in the designing of a building foundation.;Analysis
explain the development process for a building construction.;Comprehension
demonstrate the steps involved in setting out of a building foundation and discuss the setting out of purposes.;Application
distinguish between 'trench ' and 'pier holes / pits ' construction excavation.;Analysis
analyse the behavior of subsoil of coarse grained non-cohesive soils and fine grained cohesive soils.;Analysis
evaluate the functions of the component of a structural floor.;Evaluation
distinguish between flat roof and pitched roof.;Analysis
explain the five ( 5 ) procedures which need to be documented during the site inspection.;Comprehension
distinguish between 'periodic inspection ' and 'continuous inspection '.;Analysis
differentiate between “trial pits ' and 'boreholes”.;Analysis
distinguish between “suspended ' and ‘non-suspended ' floor.;Analysis
explain the solum treatment used in the floor construction.;Comprehension
ion implantation is one of the popular methods to dope semiconductors. discuss the control parameters for this method.;Comprehension
design and sketch the optimized stick-diagram layout.;Synthesis
discuss the advantages of dynamic logic circuit compared to the conventional static combinational logic circuit.;Comprehension
discuss the advantages of reducing the minimum feature size.;Comprehension
based on your knowledge on the physics of semiconductors , evaluate the limit for the minimum feature size of silicon mosfet.;Evaluation
determine the type of mosfet.;Application
finfet technology is developed to minimize some of the shortcomings in planar mosfets. with the aid of diagrams , show the differences between these two ( 2 ) transistors.;Application
discuss the advantages of finfets over planar mosfets.;Comprehension
using transmission-gates , design and sketch an 8-to-1 multiplexer.;Synthesis
oxidation is one of the most important thermal processes. briefly explain the two ( 2 ) types of oxidation process.;Comprehension
annealing is a thermal process typically performed after ion implantation. with the aid of diagrams , briefly discuss the purpose of this process.;Comprehension
discuss the main objective of layout design rules.;Comprehension
the design rules are usually described in two ( 2 ) ways. describe these two ( 2 ) ways.;Comprehension
besides field programmable gate array ( fpga ) , name one other type of programmable logic device.;Knowledge
illustrate the three ( 3 ) advantages of silicon over germanium.;Comprehension
besides silicon and germanium , name one ( 1 ) other material that can be used as the substrate of a transistor.;Comprehension
design and sketch the layout of a cmos inverter.;Synthesis
determine the oxide capacitance.;Application
with the aid of a diagram , briefly show how the width of a finfet is estimated.;Application
oxidation is one of the most important thermal processes. briefly discuss the characteristics of dry oxidation.;Comprehension
local oxidation of silicon or locos is a type of application which involves wet oxidation. with the aid of diagrams , briefly illustrate this process.;Comprehension
explain the main purpose of locos.;Comprehension
besides locos , name two ( 2 ) other applications which require thermal processes.;Comprehension
dielectric films can be thermally grown or deposited. discuss the fundamental difference between these two methods.;Comprehension
the technology of vlsi is defined by the feature size. with the aid of a diagram , explain the feature size.;Comprehension
the technology of vlsi is defined by the feature size. over the years , the feature size has been reducing. analyze and explain the reasons for doing so.;Analysis
using transmission-gates , design and sketch a 4-to-1 multiplexer.;Synthesis
besides silicon and germanium , name one ( 1 ) other material which could be used to fabricate transistors.;Comprehension
discuss the differences between a stick diagram and an actual layout.;Comprehension
analyze the causes of infant mortality during and after production.;Analysis
give two ( 2 ) examples how intrinsic reliability failure occurs in ics.;Comprehension
with the aid of a diagram , explain locos.;Comprehension
discuss the disadvantages of locos.;Comprehension
explain the purposes of scaling.;Comprehension
determine the gate oxide capacitance.;Application
explain the physical meaning of transconductance.;Comprehension
evaluate how the increase of the transconductance affects the operation of the transistor.;Evaluation
there are two ( 2 ) common methods used in the semiconductor industry to fabricate single crystal silicon. with the aid of diagrams , name and explain the methods.;Comprehension
there are two ( 2 ) common methods used in the semiconductor industry to fabricate single crystal silicon. analyze the advantage and disadvantage of both methods.;Analysis
classify and briefly explain different computational methods used in analyzing flows in hydraulic engineering.;Comprehension
in computational methods of analyzing flows in rivers and channels , effects of turbulence are reflected in different ways depending on how the flow is modelled. give examples of these models and explain the advantages and shortcomings.;Comprehension
list the major forces acting on the concrete body of the dam excluding earthquake and wind forces.;Comprehension
in all analysis methods , the effects of turbulence have to be modeled unless all the scales of motion are represented explicitly as in direct numerical simulation ( dns ). explain why it is not practical to analyze flows in practical hydraulic engineering by dns.;Comprehension
name a commercially available software or an open-source software that does the computational analysis of flows of hydraulic engineering and explain what it is used for , what equations based on what assumptions it uses and how then are solved.;Comprehension
explain the possible flow patterns in the culvert depending on the level of the rain water in the car park and the drain channel.;Comprehension
draw the water surface profile when the rainfall intensity is more than the design rainfall so that the inlet of the cuivert is submerged. explain how the flow rate can be computed in this case.;Application
describe what hydraulic engineering is in your own words showing concrete examples.;Comprehension
explain different approaches used in hydraulic engineering to achieve its objectives by giving examples.;Comprehension
explain important features and characteristics of the flows encountered in hydraulic engineering compared with cases in other fluid engineering.;Comprehension
discuss the role of hydraulic engineering in the sustainable development and preservation.;Comprehension
estimate the magnitude of the bed shear stress by making necessary assumptions and justifications.;Application
estimate the value of the roughness parameter of the riverbed from the observed surface slope and velocity. compare your computed value with generally known values for the present river bed.;Analysis
scaffolding is a temporary frame constructed to support a number of platforms at different heights and to provide workers a safe platform from which to work. name any four ( 4 ) types of scaffolding used in construction industry.;Knowledge
 `` the slope has been standing for more than 15 years ! so it is safe '' and `` geological report shows that the slope is safe `` . the above statements are the common misconception. propose five ( 5 ) construction controls to ensure the safety of construction of residential building on hill-site in malaysia.;Synthesis
prestressed concrete is a method for overcoming concrete 's natural weakness in tension. justify the two ( 2 ) common methods of prestressing.;Evaluation
subsurface exploration can be divided into three ( 3 ) programs. explain in detail the conclusion that could be derived from each program.;Comprehension
name four ( 4 ) types of soil in-situ field test and its application.;Knowledge
name two ( 2 ) types of laboratory tests.;Knowledge
explain the use of scaffolding in construction.;Comprehension
explain three ( 3 ) conditions where cantilever scaffolding is applied.;Comprehension
state any two ( 2 ) of malaysia 's rules , regulations or standards which are related to scaffolding and falsework.;Comprehension
explain four ( 4 ) major forces which move water into wall claddings and measures to be taken to eliminate these problems. you are required to include illustrations in your explanation.;Comprehension
discuss five ( 5 ) advantages of ibs compared to conventional in situ concrete.;Comprehension
ibs components can be divided into five broad categories. briefly describe with examples all five ( 5 ) categories.;Comprehension
discuss five ( 5 ) advantages of ibs compared to conventional in situ concrete.;Comprehension
compare the gravity retaining wall , semi gravity retaining wall and cantilever retaining wall in the aspects of shape design , maximum height and method of construction.;Comprehension
pre-cast concrete retaining walls may be constructed with any or all of the joints. describe the three ( 3 ) types of joints used.;Comprehension
discuss three ( 3 ) situations that necessitate the use of pile foundation.;Comprehension
differentiate between putlog and independent scaffold.;Analysis
explain five ( 5 ) characteristics of industrialised building system ( ibs ) in construction.;Comprehension
name and sketch the proposed retaining wall in plan view to show the main elements of the wall.;Application
list and explain the four ( 4 ) considerations when selecting a basement wall.;Comprehension
in the renovation of a new car showroom , the client wishes to attract the attention of pedestrians who passes by their building. propose the type of external envelop for this building and explain the reasons. sketch the proposed external envelop.;Synthesis
write a formula to show the steady state assumption. if all other conditions remain identical , explain how an increase in k-1 would affect the michaelis constant.;Application
describe “mechanism-based inhibitors”.;Comprehension
state the forces stabilizing functional structure of enzyme which is most susceptible to drastic ph changes. explain your answer using an example.;Comprehension
describe the principles of a coupled enzyme assay.;Comprehension
discuss the advantages and disadvantages of using laccase-based de colorization treatment.;Comprehension
suggest a technique that can overcome the problem of non-reusability for industrial enzyme applications.;Synthesis
enzyme therapy is applied clinically to treat gaucher disease. describe the cause of the disease , the therapeutic enzyme and its function.;Comprehension
state the advantage of applying each step in the purification scheme.;Comprehension
draw a table indicating purification fold and yield at each step.;Comprehension
draw a diagram to illustrate the edman degradation reaction in protein sequencing. describe some potential complications during edman degradation protein sequencing.;Comprehension
explain the functional advantages provided by enzymes with a quaternary structure.;Comprehension
discuss the regulation of atcase which is an allosteric enzyme.;Comprehension
draw and label the typical heat denaturation curves for mesophilic and thermophilic enzymes.;Comprehension
describe the limitations of using ribozyme as a catalyst.;Comprehension
explain the main difference between uncompetitive and noncompetitive inhibitors.;Comprehension
